geo,time,na_item,values
DE,1999-10-01,Export,148178.5
DE,2000-01-01,Export,155234.1
DE,2000-04-01,Export,160963.9
DE,2000-07-01,Export,163812.3
DE,2000-10-01,Export,172522.9
DE,2001-01-01,Export,172101
DE,2001-04-01,Export,172829.7
DE,2001-07-01,Export,172564.7
DE,2001-10-01,Export,174684.5
DE,2002-01-01,Export,173963.8
DE,2002-04-01,Export,179429.2
DE,2002-07-01,Export,182410.3
DE,2002-10-01,Export,185689.5
DE,2003-01-01,Export,180149.6
DE,2003-04-01,Export,179652.8
DE,2003-07-01,Export,185117.9
DE,2003-10-01,Export,189556.2
DE,2004-01-01,Export,197646
DE,2004-04-01,Export,206324.3
DE,2004-07-01,Export,202879.5
DE,2004-10-01,Export,203873.2
DE,2005-01-01,Export,208932.5
DE,2005-04-01,Export,212542.8
DE,2005-07-01,Export,221253.8
DE,2005-10-01,Export,224797.9
DE,2006-01-01,Export,232250.3
DE,2006-04-01,Export,239338.4
DE,2006-07-01,Export,246393.3
DE,2006-10-01,Export,260867.5
DE,2007-01-01,Export,259045.8
DE,2007-04-01,Export,265570.8
DE,2007-07-01,Export,270969.7
DE,2007-10-01,Export,273785.1
DE,2008-01-01,Export,276351.7
DE,2008-04-01,Export,275424.3
DE,2008-07-01,Export,273105.9
DE,2008-10-01,Export,258069.5
DE,2009-01-01,Export,227919.4
DE,2009-04-01,Export,226130.8
DE,2009-07-01,Export,233649.7
DE,2009-10-01,Export,240704.9
DE,2010-01-01,Export,247792.2
DE,2010-04-01,Export,265479.8
DE,2010-07-01,Export,269686.4
DE,2010-10-01,Export,275747.9
DE,2011-01-01,Export,282827.3
DE,2011-04-01,Export,286934.4
DE,2011-07-01,Export,290047.9
DE,2011-10-01,Export,289186.7
DE,2012-01-01,Export,294809.2
DE,2012-04-01,Export,297591.4
DE,2012-07-01,Export,301168.4
DE,2012-10-01,Export,296399
DE,2013-01-01,Export,295836
DE,2013-04-01,Export,297392.7
DE,2013-07-01,Export,302659
DE,2013-10-01,Export,308190.2
DE,2014-01-01,Export,308455.5
DE,2014-04-01,Export,311204.5
DE,2014-07-01,Export,317265.7
DE,2014-10-01,Export,323525.6
